Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
28-Nov-2023,EQ,1535.20,1537.25,1525.80,1532.10,1530.95,1528.65,1531.88,1757.50,1460.25,14244669,21821167498.85,254566
24-Nov-2023,EQ,1521.20,1533.15,1519.85,1521.30,1531.40,1532.10,1529.01,1757.50,1460.25,8234596,12590757692.80,191494
23-Nov-2023,EQ,1508.50,1523.85,1508.50,1512.55,1521.70,1521.30,1519.21,1757.50,1460.25,6523110,9909995976.95,170796
22-Nov-2023,EQ,1520.00,1520.00,1503.55,1517.95,1512.90,1512.55,1513.24,1757.50,1460.25,14561825,22035595098.85,261084
21-Nov-2023,EQ,1519.00,1522.00,1512.10,1505.20,1518.25,1517.95,1517.79,1757.50,1460.25,12479986,18941939824.75,291918
20-Nov-2023,EQ,1513.00,1513.00,1501.55,1505.10,1505.90,1505.20,1505.46,1757.50,1460.25,9665726,14551379677.65,200480
17-Nov-2023,EQ,1490.00,1507.50,1489.00,1508.35,1505.00,1505.10,1502.48,1757.50,1460.25,11850937,17805835559.30,298602
16-Nov-2023,EQ,1509.70,1519.00,1503.75,1504.40,1508.00,1508.35,1511.01,1757.50,1460.25,14856919,22449002896.90,270257
15-Nov-2023,EQ,1504.10,1510.95,1500.55,1488.80,1504.80,1504.40,1505.70,1757.50,1460.25,20622730,31051566881.50,331586
13-Nov-2023,EQ,1492.10,1495.95,1485.90,1500.00,1489.00,1488.80,1490.72,1757.50,1460.25,10302957,15358848457.45,318892
12-Nov-2023,EQ,1500.00,1502.00,1496.15,1491.50,1499.00,1500.00,1499.50,1757.50,1460.25,1975463,2962207492.65,85801
10-Nov-2023,EQ,1480.10,1496.00,1480.05,1485.65,1495.00,1491.50,1486.67,1757.50,1460.25,7007593,10417971067.75,181055
09-Nov-2023,EQ,1486.00,1492.60,1483.50,1491.55,1486.50,1485.65,1487.69,1757.50,1460.25,11058370,16451404289.60,281527
08-Nov-2023,EQ,1483.95,1493.45,1481.00,1487.25,1491.80,1491.55,1489.03,1757.50,1460.25,15699773,23377406572.30,499216
07-Nov-2023,EQ,1494.00,1494.00,1477.20,1494.50,1490.00,1487.25,1484.48,1757.50,1460.25,20976424,31139051244.05,585794
06-Nov-2023,EQ,1498.00,1498.00,1483.00,1483.75,1493.80,1494.50,1488.25,1757.50,1460.25,12796865,19044945751.70,386836
03-Nov-2023,EQ,1488.00,1491.40,1481.65,1476.75,1484.50,1483.75,1487.25,1757.50,1460.25,9047670,13456152900.70,226806
02-Nov-2023,EQ,1485.00,1490.50,1467.15,1474.50,1478.70,1476.75,1472.27,1757.50,1460.25,22612577,33291873290.70,260964
01-Nov-2023,EQ,1462.25,1477.45,1462.25,1476.50,1477.00,1474.50,1469.20,1757.50,1460.25,16938733,24886425534.80,340052
31-Oct-2023,EQ,1504.00,1504.00,1474.00,1485.10,1475.00,1476.50,1482.03,1757.50,1460.25,16317412,24182840370.90,422644
30-Oct-2023,EQ,1463.25,1489.95,1461.90,1469.15,1487.85,1485.10,1479.49,1757.50,1460.25,11655491,17244138134.55,269734
27-Oct-2023,EQ,1469.50,1478.00,1466.90,1463.40,1472.55,1469.15,1470.94,1757.50,1445.00,15970266,23491378766.10,283464
26-Oct-2023,EQ,1491.25,1492.00,1460.25,1496.50,1462.45,1463.40,1469.55,1757.50,1445.00,27780899,40825480054.70,624140
25-Oct-2023,EQ,1521.00,1522.80,1491.45,1506.05,1494.20,1496.50,1505.86,1757.50,1445.00,14155998,21316945153.10,372043
23-Oct-2023,EQ,1523.50,1528.75,1500.10,1522.80,1507.00,1506.05,1520.08,1757.50,1445.00,11188068,17006738603.70,249005
20-Oct-2023,EQ,1505.00,1527.00,1505.00,1514.95,1523.40,1522.80,1519.35,1757.50,1427.00,10547005,16024569217.40,267376
19-Oct-2023,EQ,1505.40,1526.25,1503.20,1519.75,1514.50,1514.95,1516.62,1757.50,1427.00,15126182,22940629736.40,331067
18-Oct-2023,EQ,1541.20,1541.20,1518.10,1541.20,1519.00,1519.75,1524.62,1757.50,1427.00,15608100,23796358906.90,342915
17-Oct-2023,EQ,1555.75,1555.75,1535.00,1529.60,1542.50,1541.20,1542.46,1757.50,1427.00,16451279,25375468422.15,382090
16-Oct-2023,EQ,1531.50,1534.45,1520.50,1535.75,1532.00,1529.60,1529.19,1757.50,1427.00,8928042,13652681917.00,223477
13-Oct-2023,EQ,1540.00,1548.80,1529.95,1549.85,1533.50,1535.75,1539.45,1757.50,1384.00,19872650,30592884042.20,256367
12-Oct-2023,EQ,1536.10,1552.00,1531.60,1539.60,1548.00,1549.85,1541.66,1757.50,1384.00,11012668,16977844444.80,239200
11-Oct-2023,EQ,1530.10,1542.15,1528.50,1524.85,1542.00,1539.60,1534.92,1757.50,1384.00,15666680,24047140129.10,282864
10-Oct-2023,EQ,1520.55,1529.00,1515.20,1516.25,1526.00,1524.85,1523.15,1757.50,1384.00,16633146,25334854412.75,375460
